insert into jobOrder (jobOrderID,transactionID,jobID,licensePlate,status) values

('JO000001', 'T0000003', 'J0000021', 'B5405M', 'finished'),
('JO000071', 'T0000116', 'J0000015', 'B2823H', 'finished'),
('JO000072', 'T0000118', 'J0000007', 'B4388K', 'finished'),
('JO000073', 'T0000118', 'J0000004', 'B1803C', 'finished'),
('JO000074', 'T0000120', 'J0000018', 'B2963B', 'finished'),
('JO000075', 'T0000121', 'J0000005', 'B2717K', 'finished'),
('JO000076', 'T0000122', 'J0000006', 'B4626A', 'finished'),
('JO000077', 'T0000132', 'J0000012', 'B1570L', 'finished'),
('JO000078', 'T0000135', 'J0000015', 'B1910D', 'finished'),
('JO000079', 'T0000136', 'J0000006', 'B9444J', 'finished'),
('JO000080', 'T0000140', 'J0000020', 'B9519H', 'finished'),
('JO000081', 'T0000146', 'J0000007', 'B7725B', 'finished'),
('JO000082', 'T0000151', 'J0000014', 'B8598L', 'finished'),
('JO000083', 'T0000152', 'J0000009', 'B2469C', 'finished'),
('JO000084', 'T0000153', 'J0000009', 'B3383N', 'finished'),
('JO000085', 'T0000155', 'J0000014', 'B1194C', 'finished'),
('JO000086', 'T0000156', 'J0000002', 'B8113N', 'finished'),
('JO000087', 'T0000158', 'J0000020', 'B987HH', 'finished'),
('JO000088', 'T0000159', 'J0000011', 'B503MM', 'finished'),
('JO000089', 'T0000161', 'J0000011', 'B2380H', 'finished'),
('JO000090', 'T0000164', 'J0000008', 'B5823E', 'finished'),
('JO000091', 'T0000166', 'J0000011', 'B4224J', 'finished'),
('JO000092', 'T0000168', 'J0000002', 'B757GG', 'finished'),
('JO000093', 'T0000172', 'J0000013', 'B1237L', 'finished'),
('JO000094', 'T0000173', 'J0000016', 'B9103J', 'finished'),
('JO000095', 'T0000176', 'J0000004', 'B9596K', 'finished'),
('JO000096', 'T0000179', 'J0000017', 'B6013H', 'finished'),
('JO000097', 'T0000180', 'J0000018', 'B1262D', 'finished'),
('JO000098', 'T0000188', 'J0000017', 'B1457K', 'finished'),
('JO000099', 'T0000193', 'J0000007', 'B2980O', 'finished'),
('JO000100', 'T0000198', 'J0000020', 'B4131A', 'finished');
