INSERT INTO transaction (transactionID, customerID, promoID, posID, DATE, time) VALUES

('T0000001', 'C0000070', '', 'POS00001', 20180101, 083248), 
('T0000084', 'C0000023', '', 'POS00003', 20180228, 082736), 

('T0000085', 'C0000040', '', 'POS00005', 20180301, 100225), 

('T0000086', 'C0000082', '', 'POS00003', 20180302, 105108), 

('T0000087', 'C0000071', '', 'POS00004', 20180303, 111828), 

('T0000088', 'C0000067', '', 'POS00005', 20180304, 142436), 

('T0000089', 'C0000051', '', 'POS00005', 20180305, 101030), 

('T0000090', 'C0000047', '', 'POS00005', 20180305, 144419), 

('T0000091', 'C0000067', '', 'POS00003', 20180305, 174806), 

('T0000092', 'C0000099', '', 'POS00003', 20180305, 193033), 

('T0000093', 'C0000016', '', 'POS00002', 20180306, 181238), 

('T0000094', 'C0000030', '', 'POS00004', 20180307, 183703), 

('T0000095', 'C0000039', '', 'POS00004', 20180307, 184902), 

('T0000096', 'C0000099', '', 'POS00001', 20180308, 083023), 

('T0000097', 'C0000057', '', 'POS00003', 20180308, 100056), 

('T0000098', 'C0000084', '', 'POS00005', 20180308, 102723), 

('T0000099', 'C0000052', '', 'POS00005', 20180308, 162920), 

('T0000100', 'C0000062', '', 'POS00005', 20180309, 180326), 

('T0000101', 'C0000034', '', 'POS00003', 20180311, 085900), 

('T0000102', 'C0000033', '', 'POS00003', 20180311, 093513), 

('T0000103', 'C0000001', '', 'POS00003', 20180312, 122930), 

('T0000104', 'C0000024', '', 'POS00005', 20180312, 184217), 

('T0000105', 'C0000009', '', 'POS00001', 20180313, 130504), 

('T0000106', 'C0000069', '', 'POS00003', 20180313, 163228), 

('T0000107', 'C0000098', '', 'POS00005', 20180314, 164717), 

('T0000108', 'C0000064', '', 'POS00003', 20180315, 090433), 

('T0000109', 'C0000028', '', 'POS00002', 20180316, 115312), 

('T0000110', 'C0000074', '', 'POS00002', 20180316, 193831), 

('T0000111', 'C0000083', '', 'POS00002', 20180317, 082049), 

('T0000112', 'C0000062', '', 'POS00002', 20180318, 101443), 

('T0000113', 'C0000057', '', 'POS00001', 20180319, 104552), 

('T0000114', 'C0000067', '', 'POS00002', 20180321, 110414), 

('T0000115', 'C0000093', '', 'POS00003', 20180321, 114643), 

('T0000116', 'C0000092', '', 'POS00002', 20180321, 122512), 

('T0000117', 'C0000009', '', 'POS00003', 20180322, 133559), 

('T0000118', 'C0000029', '', 'POS00004', 20180323, 080851), 

('T0000119', 'C0000041', '', 'POS00005', 20180323, 174803), 

('T0000120', 'C0000079', '', 'POS00002', 20180324, 084715), 

('T0000121', 'C0000033', '', 'POS00002', 20180324, 162953), 

('T0000122', 'C0000098', '', 'POS00004', 20180324, 182908), 

('T0000123', 'C0000077', '', 'POS00002', 20180326, 092309), 

('T0000124', 'C0000016', '', 'POS00004', 20180326, 115045), 

('T0000125', 'C0000057', '', 'POS00001', 20180327, 134031), 

('T0000126', 'C0000080', '', 'POS00005', 20180328, 174353), 

('T0000127', 'C0000044', '', 'POS00003', 20180329, 155442), 

('T0000128', 'C0000007', '', 'POS00002', 20180329, 160101), 

('T0000129', 'C0000049', '', 'POS00005', 20180329, 190819), 

('T0000130', 'C0000062', '', 'POS00003', 20180330, 171308), 

('T0000131', 'C0000014', '', 'POS00001', 20180331, 123041), 

('T0000132', 'C0000048', '', 'POS00003', 20180331, 172421), 

('T0000133', 'C0000028', '', 'POS00001', 20180403, 142556), 

('T0000134', 'C0000021', '', 'POS00005', 20180404, 131850), 

('T0000135', 'C0000042', '', 'POS00004', 20180404, 192314), 

('T0000136', 'C0000013', '', 'POS00003', 20180405, 160505), 

('T0000137', 'C0000098', '', 'POS00003', 20180405, 180843), 

('T0000138', 'C0000024', '', 'POS00004', 20180406, 165440), 

('T0000139', 'C0000009', '', 'POS00004', 20180408, 095244), 

('T0000140', 'C0000019', '', 'POS00001', 20180409, 153131), 

('T0000141', 'C0000043', '', 'POS00005', 20180409, 170131), 

('T0000142', 'C0000100', '', 'POS00003', 20180409, 183631), 

('T0000143', 'C0000020', '', 'POS00002', 20180413, 092613), 

('T0000144', 'C0000072', '', 'POS00005', 20180415, 095741), 

('T0000145', 'C0000078', '', 'POS00005', 20180415, 105622), 

('T0000146', 'C0000087', '', 'POS00001', 20180415, 144902), 

('T0000147', 'C0000074', '', 'POS00004', 20180415, 155436), 

('T0000148', 'C0000065', '', 'POS00001', 20180416, 141139), 

('T0000149', 'C0000051', '', 'POS00005', 20180416, 145908), 

('T0000150', 'C0000063', '', 'POS00002', 20180420, 110938), 

('T0000151', 'C0000053', '', 'POS00002', 20180420, 160912), 

('T0000152', 'C0000003', '', 'POS00002', 20180422, 195613), 

('T0000153', 'C0000015', '', 'POS00001', 20180423, 080522), 

('T0000154', 'C0000071', '', 'POS00003', 20180423, 121048), 

('T0000155', 'C0000029', '', 'POS00001', 20180425, 105125), 

('T0000156', 'C0000087', '', 'POS00002', 20180426, 082944), 

('T0000157', 'C0000076', '', 'POS00001', 20180426, 125458), 

('T0000158', 'C0000033', '', 'POS00004', 20180426, 191359), 

('T0000159', 'C0000048', '', 'POS00003', 20180427, 100046), 

('T0000160', 'C0000002', '', 'POS00001', 20180428, 124759), 

('T0000161', 'C0000080', '', 'POS00002', 20180428, 182414), 

('T0000162', 'C0000022', '', 'POS00001', 20180429, 172848), 

('T0000163', 'C0000099', '', 'POS00002', 20180430, 102415), 

('T0000164', 'C0000074', '', 'POS00001', 20180430, 141048), 

('T0000165', 'C0000011', '', 'POS00005', 20180502, 180620), 

('T0000166', 'C0000022', '', 'POS00002', 20180504, 111302), 

('T0000167', 'C0000001', '', 'POS00005', 20180504, 132008), 

('T0000168', 'C0000095', '', 'POS00001', 20180505, 132759), 

('T0000169', 'C0000005', '', 'POS00001', 20180506, 172551), 

('T0000170', 'C0000098', '', 'POS00004', 20180506, 185108), 

('T0000171', 'C0000007', '', 'POS00003', 20180508, 085631), 

('T0000172', 'C0000012', '', 'POS00004', 20180508, 085853), 

('T0000173', 'C0000080', '', 'POS00002', 20180508, 154717), 

('T0000174', 'C0000011', '', 'POS00005', 20180508, 182216), 

('T0000175', 'C0000052', '', 'POS00001', 20180509, 102724), 

('T0000176', 'C0000094', '', 'POS00003', 20180509, 133002), 

('T0000177', 'C0000090', '', 'POS00001', 20180509, 182130), 

('T0000178', 'C0000012', '', 'POS00003', 20180511, 084825), 

('T0000179', 'C0000062', '', 'POS00004', 20180511, 120211), 

('T0000180', 'C0000001', '', 'POS00002', 20180511, 162747), 

('T0000181', 'C0000065', '', 'POS00003', 20180512, 154525), 

('T0000182', 'C0000067', '', 'POS00002', 20180512, 182720), 

('T0000183', 'C0000041', '', 'POS00005', 20180513, 092930), 

('T0000184', 'C0000020', '', 'POS00002', 20180513, 183800), 

('T0000185', 'C0000080', '', 'POS00004', 20180514, 132050), 

('T0000186', 'C0000084', '', 'POS00003', 20180514, 160020), 

('T0000187', 'C0000038', '', 'POS00002', 20180514, 162853), 

('T0000188', 'C0000028', '', 'POS00003', 20180515, 190845), 

('T0000189', 'C0000089', '', 'POS00004', 20180516, 130206), 

('T0000190', 'C0000067', '', 'POS00002', 20180516, 133834), 

('T0000191', 'C0000019', '', 'POS00002', 20180517, 142925), 

('T0000192', 'C0000012', '', 'POS00004', 20180519, 171330), 

('T0000193', 'C0000060', '', 'POS00005', 20180520, 125131), 

('T0000194', 'C0000095', '', 'POS00001', 20180520, 171437), 

('T0000195', 'C0000097', '', 'POS00004', 20180521, 095200), 

('T0000196', 'C0000096', '', 'POS00004', 20180521, 132443), 

('T0000197', 'C0000071', '', 'POS00001', 20180521, 144917), 

('T0000198', 'C0000099', '', 'POS00005', 20180521, 165135), 

('T0000199', 'C0000097', '', 'POS00001', 20180521, 181601), 

('T0000200', 'C0000069', '', 'POS00001', 20180523, 104655), 

('T0000201', 'C0000089', '', 'POS00002', 20180523, 120514), 

('T0000202', 'C0000003', '', 'POS00001', 20180524, 085804), 

('T0000203', 'C0000015', '', 'POS00002', 20180524, 135524), 

('T0000204', 'C0000035', '', 'POS00001', 20180524, 150946), 

('T0000205', 'C0000028', '', 'POS00004', 20180525, 090330), 

('T0000206', 'C0000034', '', 'POS00003', 20180525, 091009), 

('T0000207', 'C0000080', '', 'POS00002', 20180526, 101830), 

('T0000208', 'C0000026', '', 'POS00004', 20180526, 104441), 

('T0000209', 'C0000098', '', 'POS00004', 20180526, 114527), 

('T0000210', 'C0000059', '', 'POS00004', 20180527, 114936), 

('T0000211', 'C0000039', '', 'POS00001', 20180527, 170536), 

('T0000212', 'C0000054', '', 'POS00001', 20180528, 143523), 

('T0000213', 'C0000096', '', 'POS00004', 20180530, 095826), 

('T0000214', 'C0000074', '', 'POS00005', 20180530, 172524), 

('T0000215', 'C0000042', '', 'POS00002', 20180531, 084836), 

('T0000216', 'C0000046', '', 'POS00003', 20180531, 085738), 

('T0000217', 'C0000066', '', 'POS00005', 20180531, 174146), 

('T0000218', 'C0000044', '', 'POS00005', 20180531, 192754), 

('T0000219', 'C0000038', '', 'POS00004', 20180601, 100352), 

('T0000220', 'C0000071', '', 'POS00001', 20180601, 114237), 

('T0000221', 'C0000021', '', 'POS00001', 20180602, 133735), 

('T0000222', 'C0000001', '', 'POS00005', 20180603, 183513), 

('T0000223', 'C0000089', '', 'POS00004', 20180604, 101324), 

('T0000224', 'C0000100', '', 'POS00002', 20180605, 083219), 

('T0000225', 'C0000086', '', 'POS00005', 20180605, 095933), 

('T0000226', 'C0000045', '', 'POS00001', 20180606, 180544), 

('T0000227', 'C0000078', '', 'POS00005', 20180606, 183916), 

('T0000228', 'C0000057', '', 'POS00001', 20180606, 193538), 

('T0000229', 'C0000071', '', 'POS00003', 20180607, 110723), 

('T0000230', 'C0000081', '', 'POS00004', 20180610, 112015), 

('T0000231', 'C0000014', '', 'POS00002', 20180611, 165602), 

('T0000232', 'C0000005', '', 'POS00001', 20180612, 100310), 

('T0000233', 'C0000003', '', 'POS00002', 20180612, 182229), 

('T0000234', 'C0000080', '', 'POS00002', 20180613, 145343), 

('T0000235', 'C0000037', '', 'POS00002', 20180613, 145557), 

('T0000236', 'C0000064', '', 'POS00001', 20180614, 154945), 

('T0000237', 'C0000046', '', 'POS00002', 20180615, 171948), 

('T0000238', 'C0000013', '', 'POS00005', 20180616, 111225), 

('T0000239', 'C0000066', '', 'POS00001', 20180616, 174146), 

('T0000240', 'C0000065', '', 'POS00003', 20180617, 083701), 

('T0000241', 'C0000094', '', 'POS00001', 20180618, 091932), 

('T0000242', 'C0000003', '', 'POS00003', 20180618, 132121), 

('T0000243', 'C0000100', '', 'POS00004', 20180619, 131108), 

('T0000244', 'C0000058', '', 'POS00005', 20180619, 134300), 

('T0000245', 'C0000059', '', 'POS00002', 20180619, 174711), 

('T0000246', 'C0000022', '', 'POS00002', 20180620, 194631), 

('T0000247', 'C0000025', '', 'POS00005', 20180621, 122255), 

('T0000248', 'C0000037', '', 'POS00005', 20180621, 141445), 

('T0000249', 'C0000070', '', 'POS00004', 20180621, 151329), 

('T0000250', 'C0000024', '', 'POS00005', 20180622, 084106), 

('T0000251', 'C0000040', '', 'POS00005', 20180623, 151117), 

('T0000252', 'C0000036', '', 'POS00001', 20180624, 160858), 

('T0000253', 'C0000004', '', 'POS00002', 20180624, 175849), 

('T0000254', 'C0000100', '', 'POS00003', 20180624, 193009), 

('T0000255', 'C0000086', '', 'POS00005', 20180625, 183010), 

('T0000256', 'C0000068', '', 'POS00005', 20180626, 193859), 

('T0000257', 'C0000017', '', 'POS00001', 20180628, 093655), 

('T0000258', 'C0000061', '', 'POS00002', 20180629, 103515), 

('T0000259', 'C0000032', '', 'POS00003', 20180629, 151220), 

('T0000260', 'C0000019', '', 'POS00002', 20180701, 181535), 

('T0000261', 'C0000047', '', 'POS00001', 20180702, 081022), 

('T0000262', 'C0000086', '', 'POS00001', 20180702, 102207), 

('T0000263', 'C0000072', '', 'POS00003', 20180702, 111622), 

('T0000264', 'C0000009', '', 'POS00005', 20180702, 164530), 

('T0000265', 'C0000087', '', 'POS00001', 20180703, 132235), 

('T0000266', 'C0000096', '', 'POS00002', 20180704, 160318), 

('T0000267', 'C0000093', '', 'POS00001', 20180705, 111616), 

('T0000268', 'C0000095', '', 'POS00005', 20180707, 142035), 

('T0000269', 'C0000071', '', 'POS00004', 20180707, 163538), 

('T0000270', 'C0000069', '', 'POS00001', 20180710, 122532), 

('T0000271', 'C0000076', '', 'POS00001', 20180710, 185214), 

('T0000272', 'C0000047', '', 'POS00003', 20180712, 164511), 

('T0000273', 'C0000097', '', 'POS00004', 20180712, 173447), 

('T0000274', 'C0000016', '', 'POS00001', 20180712, 184325), 

('T0000275', 'C0000024', '', 'POS00003', 20180713, 142830), 

('T0000276', 'C0000035', '', 'POS00004', 20180713, 160319), 

('T0000277', 'C0000047', '', 'POS00001', 20180713, 161231), 

('T0000278', 'C0000033', '', 'POS00005', 20180714, 115346), 

('T0000279', 'C0000089', '', 'POS00002', 20180714, 172748), 

('T0000280', 'C0000017', '', 'POS00003', 20180714, 181502), 

('T0000281', 'C0000043', '', 'POS00001', 20180715, 085725), 

('T0000282', 'C0000087', '', 'POS00001', 20180715, 095007), 

('T0000283', 'C0000004', '', 'POS00004', 20180715, 121918), 

('T0000284', 'C0000030', '', 'POS00002', 20180715, 183140), 

('T0000285', 'C0000041', '', 'POS00004', 20180716, 145452), 

('T0000286', 'C0000006', '', 'POS00001', 20180716, 194928), 

('T0000287', 'C0000074', '', 'POS00001', 20180718, 103940), 

('T0000288', 'C0000018', '', 'POS00003', 20180719, 080544), 

('T0000289', 'C0000031', '', 'POS00004', 20180719, 105733), 

('T0000290', 'C0000030', '', 'POS00001', 20180719, 115927), 

('T0000291', 'C0000094', '', 'POS00003', 20180721, 142908), 

('T0000292', 'C0000032', '', 'POS00004', 20180722, 092108), 

('T0000293', 'C0000080', '', 'POS00002', 20180723, 112916), 

('T0000294', 'C0000037', '', 'POS00003', 20180723, 145906), 

('T0000295', 'C0000019', '', 'POS00004', 20180725, 154409), 

('T0000296', 'C0000022', '', 'POS00001', 20180726, 105254), 

('T0000297', 'C0000040', '', 'POS00003', 20180726, 155708), 

('T0000298', 'C0000048', '', 'POS00004', 20180726, 173820), 

('T0000299', 'C0000087', '', 'POS00001', 20180727, 125418), 

('T0000300', 'C0000011', '', 'POS00005', 20180728, 135356), 

('T0000301', 'C0000043', '', 'POS00002', 20180729, 080732), 

('T0000302', 'C0000001', '', 'POS00001', 20180730, 125021), 

('T0000303', 'C0000069', '', 'POS00001', 20180730, 174654), 

('T0000304', 'C0000011', '', 'POS00005', 20180731, 180005), 

('T0000305', 'C0000015', '', 'POS00001', 20180731, 180611), 

('T0000306', 'C0000095', '', 'POS00003', 20180801, 181134), 

('T0000307', 'C0000005', '', 'POS00002', 20180801, 185209), 

('T0000308', 'C0000095', '', 'POS00005', 20180803, 082221), 

('T0000309', 'C0000023', '', 'POS00001', 20180804, 164128), 

('T0000310', 'C0000002', '', 'POS00003', 20180806, 085203), 

('T0000311', 'C0000033', '', 'POS00004', 20180806, 103549), 

('T0000312', 'C0000046', '', 'POS00001', 20180807, 133930), 

('T0000313', 'C0000098', '', 'POS00001', 20180807, 194156), 

('T0000314', 'C0000061', '', 'POS00004', 20180808, 120754), 

('T0000315', 'C0000010', '', 'POS00005', 20180808, 150422), 

('T0000316', 'C0000046', '', 'POS00003', 20180809, 102947), 

('T0000317', 'C0000013', '', 'POS00004', 20180809, 142620), 

('T0000318', 'C0000010', '', 'POS00002', 20180811, 170532), 

('T0000319', 'C0000081', '', 'POS00005', 20180811, 185238), 

('T0000320', 'C0000059', '', 'POS00003', 20180812, 123044), 

('T0000321', 'C0000096', '', 'POS00005', 20180813, 190324), 

('T0000322', 'C0000096', '', 'POS00004', 20180813, 194430), 

('T0000323', 'C0000016', '', 'POS00004', 20180814, 195625), 

('T0000324', 'C0000065', '', 'POS00005', 20180817, 111648), 

('T0000325', 'C0000086', '', 'POS00005', 20180818, 112521), 

('T0000326', 'C0000070', '', 'POS00002', 20180819, 125327), 

('T0000327', 'C0000071', '', 'POS00001', 20180820, 093526), 

('T0000328', 'C0000092', '', 'POS00002', 20180820, 152353), 

('T0000329', 'C0000014', '', 'POS00001', 20180820, 152737), 

('T0000330', 'C0000027', '', 'POS00005', 20180821, 125723), 

('T0000331', 'C0000071', '', 'POS00005', 20180821, 150549), 

('T0000332', 'C0000049', '', 'POS00001', 20180821, 174554), 

('T0000333', 'C0000045', '', 'POS00003', 20180822, 104806), 

('T0000334', 'C0000085', '', 'POS00001', 20180822, 131707), 

('T0000335', 'C0000040', '', 'POS00005', 20180823, 094823), 

('T0000336', 'C0000067', '', 'POS00001', 20180823, 195829), 

('T0000337', 'C0000013', '', 'POS00004', 20180825, 084855), 

('T0000338', 'C0000003', '', 'POS00005', 20180825, 105309), 

('T0000339', 'C0000054', '', 'POS00001', 20180825, 130710), 

('T0000340', 'C0000099', '', 'POS00005', 20180826, 132149), 

('T0000341', 'C0000092', '', 'POS00002', 20180826, 144709), 

('T0000342', 'C0000074', '', 'POS00004', 20180826, 164552), 

('T0000343', 'C0000091', '', 'POS00005', 20180827, 190956), 

('T0000344', 'C0000019', '', 'POS00005', 20180827, 195820), 

('T0000345', 'C0000034', '', 'POS00004', 20180828, 133533), 

('T0000346', 'C0000034', '', 'POS00004', 20180830, 151634), 

('T0000347', 'C0000082', '', 'POS00004', 20180831, 101152), 

('T0000348', 'C0000064', '', 'POS00002', 20180831, 124649), 

('T0000349', 'C0000071', '', 'POS00005', 20180901, 140216), 

('T0000350', 'C0000041', '', 'POS00002', 20180902, 183501), 

('T0000351', 'C0000067', '', 'POS00003', 20180904, 190104), 

('T0000352', 'C0000035', '', 'POS00005', 20180905, 133642), 

('T0000353', 'C0000045', '', 'POS00004', 20180906, 143411), 

('T0000354', 'C0000036', '', 'POS00002', 20180906, 175824), 

('T0000355', 'C0000034', '', 'POS00003', 20180907, 081748), 

('T0000356', 'C0000037', '', 'POS00004', 20180908, 082334), 

('T0000357', 'C0000092', '', 'POS00004', 20180910, 095015), 

('T0000358', 'C0000070', '', 'POS00003', 20180911, 100128), 

('T0000359', 'C0000077', '', 'POS00003', 20180912, 112954), 

('T0000360', 'C0000031', '', 'POS00005', 20180912, 153029), 

('T0000361', 'C0000094', '', 'POS00001', 20180914, 092942), 

('T0000362', 'C0000085', '', 'POS00004', 20180914, 164734), 

('T0000363', 'C0000077', '', 'POS00004', 20180915, 081209), 

('T0000364', 'C0000033', '', 'POS00003', 20180915, 195757), 

('T0000365', 'C0000001', '', 'POS00005', 20180917, 123834), 

('T0000366', 'C0000010', '', 'POS00001', 20180918, 100706), 

('T0000367', 'C0000083', '', 'POS00003', 20180918, 111652), 

('T0000368', 'C0000025', '', 'POS00003', 20180919, 134309), 

('T0000369', 'C0000051', '', 'POS00002', 20180919, 165839), 

('T0000370', 'C0000028', '', 'POS00005', 20180922, 100335), 

('T0000371', 'C0000063', '', 'POS00001', 20180922, 130004), 

('T0000372', 'C0000062', '', 'POS00005', 20180922, 142707), 

('T0000373', 'C0000070', '', 'POS00004', 20180922, 171246), 

('T0000374', 'C0000100', '', 'POS00002', 20180923, 141532), 

('T0000375', 'C0000058', '', 'POS00005', 20180924, 114947), 

('T0000376', 'C0000005', '', 'POS00002', 20180925, 161728), 

('T0000377', 'C0000076', '', 'POS00002', 20180925, 172034), 

('T0000378', 'C0000091', '', 'POS00004', 20180925, 180004), 

('T0000379', 'C0000097', '', 'POS00001', 20180926, 105420), 

('T0000380', 'C0000084', '', 'POS00004', 20180927, 091459), 

('T0000381', 'C0000076', '', 'POS00005', 20180927, 112151), 

('T0000382', 'C0000045', '', 'POS00001', 20180928, 093921), 

('T0000383', 'C0000092', '', 'POS00001', 20180929, 082143), 

('T0000384', 'C0000090', '', 'POS00005', 20180929, 093636), 

('T0000385', 'C0000093', '', 'POS00004', 20180929, 194949), 

('T0000386', 'C0000084', '', 'POS00003', 20180930, 082754), 

('T0000387', 'C0000096', '', 'POS00003', 20181001, 081008), 

('T0000388', 'C0000094', '', 'POS00004', 20181001, 175538), 

('T0000389', 'C0000063', '', 'POS00004', 20181002, 112655), 

('T0000390', 'C0000092', '', 'POS00005', 20181002, 194759), 

('T0000391', 'C0000015', '', 'POS00003', 20181003, 143324), 

('T0000392', 'C0000059', '', 'POS00003', 20181005, 153027), 

('T0000393', 'C0000048', '', 'POS00003', 20181008, 084826), 

('T0000394', 'C0000070', '', 'POS00004', 20181009, 104021), 

('T0000395', 'C0000058', '', 'POS00001', 20181012, 114037), 

('T0000396', 'C0000071', '', 'POS00005', 20181013, 123303), 

('T0000397', 'C0000009', '', 'POS00001', 20181013, 164855), 

('T0000398', 'C0000075', '', 'POS00004', 20181014, 103656), 

('T0000399', 'C0000025', '', 'POS00003', 20181014, 104842), 

('T0000400', 'C0000034', '', 'POS00002', 20181014, 171143), 

('T0000401', 'C0000041', '', 'POS00005', 20181015, 113027), 

('T0000402', 'C0000018', '', 'POS00004', 20181015, 124915), 

('T0000403', 'C0000004', '', 'POS00004', 20181017, 140717), 

('T0000404', 'C0000022', '', 'POS00001', 20181018, 150544), 

('T0000405', 'C0000072', '', 'POS00004', 20181018, 185748), 

('T0000406', 'C0000080', '', 'POS00003', 20181019, 125029), 

('T0000407', 'C0000030', '', 'POS00002', 20181019, 191807), 

('T0000408', 'C0000040', '', 'POS00002', 20181020, 173241), 

