insert into carOrder (carOrderID, transactionID, carID, salesID, quantity, totalPrice) values

('CO000001','T0000001', 'CA000012', 'S0000003', 1, 114000000), 
('CO000058','T0000066', 'CA000015', 'S0000001', 1, 542500000), 
('CO000059','T0000066', 'CA000022', 'S0000004', 1, 150800000), 
('CO000060','T0000067', 'CA000019', 'S0000005', 1, 161000000), 
('CO000061','T0000067', 'CA000025', 'S0000004', 1, 579800000), 
('CO000062','T0000069', 'CA000019', 'S0000004', 2, 322000000), 
('CO000063','T0000071', 'CA000009', 'S0000003', 1, 338000000), 
('CO000064','T0000075', 'CA000009', 'S0000004', 1, 338000000), 
('CO000065','T0000077', 'CA000014', 'S0000003', 1, 185800000), 
('CO000066','T0000079', 'CA000001', 'S0000003', 1, 312050000), 
('CO000067','T0000079', 'CA000005', 'S0000005', 1, 147000000), 
('CO000068','T0000081', 'CA000006', 'S0000002', 2, 406000000), 
('CO000069','T0000081', 'CA000030', 'S0000005', 1, 562640000), 
('CO000070','T0000081', 'CA000029', 'S0000004', 1, 172000000), 
('CO000071','T0000082', 'CA000029', 'S0000005', 3, 516000000), 
('CO000072','T0000083', 'CA000003', 'S0000001', 1, 476050000), 
('CO000073','T0000087', 'CA000004', 'S0000004', 1, 244800000), 
('CO000074','T0000087', 'CA000028', 'S0000005', 2, 406000000), 
('CO000075','T0000087', 'CA000009', 'S0000001', 1, 338000000), 
('CO000076','T0000090', 'CA000019', 'S0000001', 1, 161000000), 
('CO000077','T0000093', 'CA000009', 'S0000002', 1, 338000000), 
('CO000078','T0000094', 'CA000009', 'S0000005', 1, 338000000), 
('CO000079','T0000098', 'CA000013', 'S0000003', 1, 205300000), 
('CO000080','T0000099', 'CA000023', 'S0000004', 1, 208800000), 
('CO000081','T0000101', 'CA000011', 'S0000003', 1, 202300000), 
('CO000082','T0000103', 'CA000012', 'S0000001', 1, 114000000), 
('CO000083','T0000104', 'CA000017', 'S0000002', 2, 773000000), 
('CO000084','T0000105', 'CA000025', 'S0000003', 1, 579800000), 
('CO000085','T0000105', 'CA000019', 'S0000002', 1, 161000000), 
('CO000086','T0000106', 'CA000027', 'S0000001', 1, 389000000), 
('CO000087','T0000106', 'CA000020', 'S0000003', 1, 218000000), 
('CO000088','T0000111', 'CA000007', 'S0000002', 1, 210300000), 
('CO000089','T0000112', 'CA000003', 'S0000002', 1, 476050000), 
('CO000090','T0000112', 'CA000030', 'S0000003', 1, 562640000), 
('CO000091','T0000113', 'CA000023', 'S0000005', 1, 208800000), 
('CO000092','T0000114', 'CA000003', 'S0000001', 1, 476050000), 
('CO000093','T0000115', 'CA000004', 'S0000005', 1, 244800000), 
('CO000094','T0000116', 'CA000019', 'S0000002', 1, 161000000), 
('CO000095','T0000118', 'CA000016', 'S0000004', 2, 304000000), 
('CO000096','T0000118', 'CA000026', 'S0000003', 1, 290600000), 
('CO000097','T0000119', 'CA000029', 'S0000002', 1, 172000000), 
('CO000098','T0000121', 'CA000028', 'S0000003', 1, 203000000), 
('CO000099','T0000123', 'CA000030', 'S0000005', 1, 562640000), 
('CO000100','T0000124', 'CA000030', 'S0000002', 1, 562640000), 
('CO000101','T0000125', 'CA000029', 'S0000003', 1, 172000000), 
('CO000102','T0000126', 'CA000026', 'S0000005', 1, 290600000), 
('CO000103','T0000127', 'CA000002', 'S0000003', 1, 191100000), 
('CO000104','T0000129', 'CA000001', 'S0000004', 1, 312050000), 
('CO000105','T0000131', 'CA000030', 'S0000004', 1, 562640000), 
('CO000106','T0000132', 'CA000017', 'S0000003', 1, 386500000), 
('CO000107','T0000135', 'CA000020', 'S0000003', 1, 218000000), 
('CO000108','T0000136', 'CA000020', 'S0000004', 1, 218000000), 
('CO000109','T0000141', 'CA000028', 'S0000002', 1, 203000000), 
('CO000110','T0000142', 'CA000026', 'S0000004', 1, 290600000), 
('CO000111','T0000144', 'CA000006', 'S0000005', 1, 203000000), 
('CO000112','T0000146', 'CA000002', 'S0000002', 1, 191100000), 
('CO000113','T0000149', 'CA000027', 'S0000004', 1, 389000000), 
('CO000114','T0000150', 'CA000026', 'S0000001', 1, 290600000), 
('CO000115','T0000151', 'CA000013', 'S0000004', 1, 205300000), 
('CO000116','T0000154', 'CA000006', 'S0000004', 1, 203000000), 
('CO000117','T0000157', 'CA000002', 'S0000004', 1, 191100000), 
('CO000118','T0000160', 'CA000023', 'S0000002', 1, 208800000), 
('CO000119','T0000161', 'CA000007', 'S0000003', 1, 210300000), 
('CO000120','T0000162', 'CA000002', 'S0000001', 1, 191100000), 
('CO000121','T0000163', 'CA000014', 'S0000002', 1, 185800000), 
('CO000122','T0000164', 'CA000030', 'S0000003', 1, 562640000), 
('CO000123','T0000165', 'CA000004', 'S0000005', 1, 244800000), 
('CO000124','T0000166', 'CA000021', 'S0000001', 1, 201000000), 
('CO000125','T0000167', 'CA000017', 'S0000004', 1, 386500000), 
('CO000126','T0000168', 'CA000003', 'S0000004', 1, 476050000), 
('CO000127','T0000169', 'CA000008', 'S0000001', 1, 481500000), 
('CO000128','T0000170', 'CA000012', 'S0000003', 1, 114000000), 
('CO000129','T0000171', 'CA000018', 'S0000005', 1, 260000000), 
('CO000130','T0000173', 'CA000025', 'S0000005', 1, 579800000), 
('CO000131','T0000175', 'CA000013', 'S0000005', 1, 205300000), 
('CO000132','T0000176', 'CA000021', 'S0000003', 1, 201000000), 
('CO000133','T0000177', 'CA000019', 'S0000003', 1, 161000000), 
('CO000134','T0000179', 'CA000021', 'S0000004', 1, 201000000), 
('CO000135','T0000180', 'CA000003', 'S0000001', 2, 952100000), 
('CO000136','T0000181', 'CA000021', 'S0000004', 1, 201000000), 
('CO000137','T0000182', 'CA000003', 'S0000005', 1, 476050000), 
('CO000138','T0000183', 'CA000016', 'S0000004', 1, 152000000), 
('CO000139','T0000185', 'CA000014', 'S0000003', 1, 185800000), 
('CO000140','T0000191', 'CA000022', 'S0000004', 1, 150800000), 
('CO000141','T0000193', 'CA000016', 'S0000004', 1, 152000000), 
('CO000142','T0000195', 'CA000012', 'S0000003', 1, 114000000), 
('CO000143','T0000196', 'CA000003', 'S0000002', 1, 476050000), 
('CO000144','T0000197', 'CA000011', 'S0000003', 1, 202300000), 
('CO000145','T0000198', 'CA000004', 'S0000005', 1, 244800000), 
('CO000146','T0000199', 'CA000011', 'S0000001', 1, 202300000), 
('CO000147','T0000200', 'CA000002', 'S0000001', 1, 191100000), 
('CO000148','T0000202', 'CA000018', 'S0000001', 1, 260000000), 
('CO000149','T0000204', 'CA000021', 'S0000005', 1, 201000000), 
('CO000150','T0000205', 'CA000025', 'S0000005', 1, 579800000), 
('CO000151','T0000206', 'CA000027', 'S0000005', 1, 389000000), 
('CO000152','T0000207', 'CA000023', 'S0000002', 1, 208800000), 
('CO000153','T0000208', 'CA000029', 'S0000004', 1, 172000000), 
('CO000154','T0000209', 'CA000030', 'S0000003', 2, 1125280000), 
('CO000155','T0000210', 'CA000028', 'S0000001', 1, 203000000), 
('CO000156','T0000211', 'CA000011', 'S0000003', 1, 202300000), 
('CO000157','T0000214', 'CA000006', 'S0000002', 1, 203000000), 
('CO000158','T0000215', 'CA000014', 'S0000004', 1, 185800000), 
('CO000159','T0000217', 'CA000010', 'S0000003', 1, 98150000), 
('CO000160','T0000218', 'CA000016', 'S0000003', 1, 152000000), 
('CO000161','T0000219', 'CA000015', 'S0000001', 1, 542500000), 
('CO000162','T0000220', 'CA000020', 'S0000004', 1, 218000000), 
('CO000163','T0000221', 'CA000021', 'S0000003', 1, 201000000), 
('CO000164','T0000223', 'CA000004', 'S0000002', 1, 244800000), 
('CO000165','T0000224', 'CA000002', 'S0000001', 1, 191100000), 
('CO000166','T0000225', 'CA000005', 'S0000001', 2, 294000000), 
('CO000167','T0000226', 'CA000017', 'S0000001', 1, 386500000), 
('CO000168','T0000227', 'CA000002', 'S0000002', 1, 191100000), 
('CO000169','T0000228', 'CA000018', 'S0000004', 1, 260000000), 
('CO000170','T0000229', 'CA000001', 'S0000005', 1, 312050000), 
('CO000171','T0000230', 'CA000014', 'S0000001', 1, 185800000), 
('CO000172','T0000231', 'CA000003', 'S0000005', 2, 952100000), 
('CO000173','T0000232', 'CA000014', 'S0000004', 1, 185800000), 
('CO000174','T0000233', 'CA000026', 'S0000003', 1, 290600000), 
('CO000175','T0000234', 'CA000001', 'S0000004', 1, 312050000), 
('CO000176','T0000236', 'CA000024', 'S0000001', 1, 339800000), 
('CO000177','T0000237', 'CA000015', 'S0000003', 3, 1626000000), 
('CO000178','T0000239', 'CA000008', 'S0000002', 1, 481500000), 
('CO000179','T0000240', 'CA000001', 'S0000004', 1, 312050000), 
('CO000180','T0000241', 'CA000025', 'S0000001', 1, 579800000), 
('CO000181','T0000243', 'CA000002', 'S0000005', 1, 191100000), 
('CO000182','T0000245', 'CA000017', 'S0000003', 1, 386500000), 
('CO000183','T0000246', 'CA000014', 'S0000001', 1, 185800000), 
('CO000184','T0000247', 'CA000027', 'S0000002', 1, 389000000), 
('CO000185','T0000248', 'CA000007', 'S0000003', 1, 210300000), 
('CO000186','T0000249', 'CA000022', 'S0000005', 1, 150800000), 
('CO000187','T0000250', 'CA000027', 'S0000003', 1, 389000000), 
('CO000188','T0000252', 'CA000003', 'S0000003', 1, 476050000), 
('CO000189','T0000254', 'CA000006', 'S0000002', 1, 203000000), 
('CO000190','T0000257', 'CA000010', 'S0000005', 1, 98150000), 
('CO000191','T0000258', 'CA000020', 'S0000003', 1, 218000000), 
('CO000192','T0000259', 'CA000006', 'S0000004', 1, 203000000), 
('CO000193','T0000261', 'CA000015', 'S0000005', 1, 542500000), 
('CO000194','T0000262', 'CA000023', 'S0000003', 1, 208800000), 
('CO000195','T0000263', 'CA000003', 'S0000004', 2, 952100000), 
('CO000196','T0000265', 'CA000024', 'S0000002', 1, 339800000), 
('CO000197','T0000267', 'CA000018', 'S0000004', 1, 260000000), 
('CO000198','T0000268', 'CA000009', 'S0000004', 1, 338000000), 
('CO000199','T0000269', 'CA000025', 'S0000002', 1, 579800000), 
('CO000200','T0000270', 'CA000016', 'S0000005', 1, 152000000), 
('CO000201','T0000271', 'CA000012', 'S0000001', 1, 114000000), 
('CO000202','T0000272', 'CA000015', 'S0000001', 1, 542500000), 
('CO000203','T0000273', 'CA000001', 'S0000004', 1, 312050000), 
('CO000204','T0000274', 'CA000022', 'S0000004', 1, 150800000), 
('CO000205','T0000275', 'CA000018', 'S0000005', 1, 260000000), 
('CO000206','T0000277', 'CA000014', 'S0000002', 2, 371600000), 
('CO000207','T0000278', 'CA000003', 'S0000004', 1, 476050000), 
('CO000208','T0000279', 'CA000001', 'S0000004', 1, 312050000), 
('CO000209','T0000280', 'CA000026', 'S0000001', 1, 290600000), 
('CO000210','T0000281', 'CA000003', 'S0000002', 1, 476050000), 
('CO000211','T0000282', 'CA000025', 'S0000004', 1, 579800000), 
('CO000212','T0000284', 'CA000024', 'S0000002', 1, 339800000), 
('CO000213','T0000285', 'CA000021', 'S0000004', 1, 201000000), 
('CO000214','T0000286', 'CA000003', 'S0000004', 1, 476050000), 
('CO000215','T0000287', 'CA000028', 'S0000003', 1, 203000000), 
('CO000216','T0000288', 'CA000006', 'S0000005', 1, 203000000), 
('CO000217','T0000289', 'CA000001', 'S0000004', 1, 312050000), 
('CO000218','T0000290', 'CA000011', 'S0000003', 1, 202300000), 
('CO000219','T0000291', 'CA000011', 'S0000001', 1, 202300000), 
('CO000220','T0000292', 'CA000025', 'S0000002', 1, 579800000), 
('CO000221','T0000293', 'CA000025', 'S0000004', 1, 579800000), 
('CO000222','T0000294', 'CA000030', 'S0000003', 2, 1125280000), 
('CO000223','T0000296', 'CA000005', 'S0000002', 2, 294000000), 
('CO000224','T0000297', 'CA000020', 'S0000001', 2, 436000000), 
('CO000225','T0000298', 'CA000028', 'S0000005', 1, 203000000), 
('CO000226','T0000299', 'CA000002', 'S0000003', 1, 191100000), 
('CO000227','T0000300', 'CA000022', 'S0000005', 1, 150800000), 
('CO000228','T0000301', 'CA000004', 'S0000005', 2, 489600000), 
('CO000229','T0000302', 'CA000018', 'S0000001', 1, 260000000), 
('CO000230','T0000303', 'CA000024', 'S0000003', 1, 339800000), 
('CO000231','T0000304', 'CA000022', 'S0000003', 1, 150800000), 
('CO000232','T0000305', 'CA000001', 'S0000004', 1, 312050000), 
('CO000233','T0000306', 'CA000005', 'S0000001', 1, 147000000), 
('CO000234','T0000307', 'CA000019', 'S0000001', 1, 161000000), 
('CO000235','T0000308', 'CA000028', 'S0000005', 2, 406000000), 
('CO000236','T0000310', 'CA000012', 'S0000004', 2, 228000000), 
('CO000237','T0000311', 'CA000024', 'S0000001', 1, 339800000), 
('CO000238','T0000312', 'CA000010', 'S0000001', 1, 98150000), 
('CO000239','T0000314', 'CA000013', 'S0000005', 1, 205300000), 
('CO000240','T0000315', 'CA000002', 'S0000005', 1, 191100000), 
('CO000241','T0000316', 'CA000023', 'S0000001', 2, 417600000), 
('CO000242','T0000317', 'CA000026', 'S0000005', 2, 581200000), 
('CO000243','T0000318', 'CA000023', 'S0000004', 1, 208800000), 
('CO000244','T0000319', 'CA000025', 'S0000004', 1, 579800000), 
('CO000245','T0000320', 'CA000015', 'S0000004', 1, 542500000), 
('CO000246','T0000322', 'CA000006', 'S0000003', 1, 203000000), 
('CO000247','T0000323', 'CA000019', 'S0000005', 1, 161000000), 
('CO000248','T0000325', 'CA000030', 'S0000001', 1, 562640000), 
('CO000249','T0000327', 'CA000015', 'S0000001', 1, 542500000), 
('CO000250','T0000330', 'CA000026', 'S0000004', 1, 290600000), 
('CO000251','T0000331', 'CA000001', 'S0000002', 1, 312050000), 
('CO000252','T0000333', 'CA000013', 'S0000003', 1, 205300000), 
('CO000253','T0000334', 'CA000008', 'S0000001', 1, 481500000), 
('CO000254','T0000335', 'CA000022', 'S0000004', 1, 150800000), 
('CO000255','T0000336', 'CA000018', 'S0000001', 1, 260000000), 
('CO000256','T0000337', 'CA000006', 'S0000001', 1, 203000000), 
('CO000257','T0000341', 'CA000004', 'S0000003', 1, 244800000), 
('CO000258','T0000342', 'CA000004', 'S0000003', 5, 1224000000), 
('CO000259','T0000343', 'CA000010', 'S0000002', 1, 98150000), 
('CO000260','T0000344', 'CA000003', 'S0000004', 1, 476050000), 
('CO000261','T0000345', 'CA000012', 'S0000004', 1, 114000000), 
('CO000262','T0000346', 'CA000009', 'S0000002', 1, 338000000), 
('CO000263','T0000347', 'CA000030', 'S0000004', 1, 562640000), 
('CO000264','T0000348', 'CA000001', 'S0000004', 1, 312050000), 
('CO000265','T0000349', 'CA000007', 'S0000004', 1, 210300000), 
('CO000266','T0000350', 'CA000007', 'S0000001', 1, 210300000), 
('CO000267','T0000351', 'CA000014', 'S0000005', 1, 185800000), 
('CO000268','T0000352', 'CA000029', 'S0000004', 1, 172000000), 
('CO000269','T0000353', 'CA000008', 'S0000002', 1, 481500000), 
('CO000270','T0000354', 'CA000016', 'S0000004', 1, 152000000), 
('CO000271','T0000355', 'CA000002', 'S0000001', 1, 191100000), 
('CO000272','T0000356', 'CA000012', 'S0000005', 1, 114000000), 
('CO000273','T0000357', 'CA000015', 'S0000001', 1, 542500000), 
('CO000274','T0000358', 'CA000003', 'S0000001', 1, 476050000), 
('CO000275','T0000359', 'CA000003', 'S0000002', 1, 476050000), 
('CO000276','T0000360', 'CA000023', 'S0000002', 2, 417600000), 
('CO000277','T0000361', 'CA000014', 'S0000005', 2, 371600000), 
('CO000278','T0000362', 'CA000016', 'S0000002', 1, 152000000), 
('CO000279','T0000363', 'CA000026', 'S0000004', 1, 290600000), 
('CO000280','T0000364', 'CA000017', 'S0000002', 1, 386500000), 
('CO000281','T0000365', 'CA000005', 'S0000005', 1, 147000000), 
('CO000282','T0000366', 'CA000023', 'S0000002', 1, 208800000), 
('CO000283','T0000367', 'CA000023', 'S0000001', 1, 208800000), 
('CO000284','T0000368', 'CA000022', 'S0000001', 1, 150800000), 
('CO000285','T0000369', 'CA000016', 'S0000002', 1, 152000000), 
('CO000286','T0000370', 'CA000017', 'S0000001', 1, 386500000), 
('CO000287','T0000371', 'CA000023', 'S0000005', 1, 208800000), 
('CO000288','T0000372', 'CA000004', 'S0000002', 1, 244800000), 
('CO000289','T0000373', 'CA000029', 'S0000003', 1, 172000000), 
('CO000290','T0000374', 'CA000025', 'S0000004', 1, 579800000), 
('CO000291','T0000375', 'CA000024', 'S0000002', 1, 339800000), 
('CO000292','T0000376', 'CA000025', 'S0000003', 1, 579800000), 
('CO000293','T0000377', 'CA000020', 'S0000004', 2, 436000000), 
('CO000294','T0000378', 'CA000021', 'S0000004', 1, 201000000), 
('CO000295','T0000379', 'CA000021', 'S0000001', 1, 201000000), 
('CO000296','T0000380', 'CA000025', 'S0000004', 1, 579800000), 
('CO000297','T0000381', 'CA000004', 'S0000005', 2, 489600000), 
('CO000298','T0000382', 'CA000022', 'S0000005', 1, 150800000), 
('CO000299','T0000383', 'CA000023', 'S0000004', 1, 208800000), 
('CO000300','T0000384', 'CA000001', 'S0000003', 1, 312050000), 
('CO000301','T0000385', 'CA000022', 'S0000005', 1, 150800000), 
('CO000302','T0000386', 'CA000010', 'S0000004', 1, 98150000), 
('CO000303','T0000387', 'CA000002', 'S0000004', 1, 191100000), 
('CO000304','T0000388', 'CA000002', 'S0000005', 1, 191100000), 
('CO000305','T0000389', 'CA000016', 'S0000004', 1, 152000000), 
('CO000306','T0000390', 'CA000010', 'S0000003', 1, 98150000), 
('CO000307','T0000391', 'CA000018', 'S0000001', 1, 260000000), 
('CO000308','T0000392', 'CA000025', 'S0000004', 1, 579800000), 
('CO000309','T0000393', 'CA000030', 'S0000004', 1, 562640000), 
('CO000310','T0000394', 'CA000010', 'S0000003', 1, 98150000), 
('CO000311','T0000395', 'CA000029', 'S0000001', 1, 172000000), 
('CO000312','T0000396', 'CA000015', 'S0000003', 1, 542500000), 
('CO000313','T0000397', 'CA000016', 'S0000001', 1, 152000000), 
('CO000314','T0000398', 'CA000010', 'S0000003', 1, 98150000), 
('CO000315','T0000399', 'CA000003', 'S0000005', 1, 476050000), 
('CO000316','T0000400', 'CA000011', 'S0000005', 1, 202300000), 
('CO000317','T0000401', 'CA000011', 'S0000001', 1, 202300000), 
('CO000318','T0000402', 'CA000002', 'S0000001', 1, 191100000), 
('CO000319','T0000403', 'CA000011', 'S0000004', 1, 202300000), 
('CO000320','T0000404', 'CA000009', 'S0000003', 1, 338000000), 
('CO000321','T0000405', 'CA000017', 'S0000005', 1, 386500000), 
('CO000322','T0000406', 'CA000019', 'S0000002', 1, 161000000), 
('CO000323','T0000407', 'CA000014', 'S0000004', 1, 185800000), 
('CO000324','T0000408', 'CA000015', 'S0000004', 2, 1085000000), 
('CO000325','T0000409', 'CA000002', 'S0000001', 1, 191100000), 
('CO000326','T0000410', 'CA000022', 'S0000004', 1, 150800000), 
('CO000327','T0000411', 'CA000024', 'S0000001', 1, 339800000), 
('CO000328','T0000412', 'CA000006', 'S0000002', 1, 203000000), 
('CO000329','T0000413', 'CA000001', 'S0000004', 3, 936150000), 
('CO000330','T0000414', 'CA000007', 'S0000001', 1, 210300000), 
('CO000331','T0000415', 'CA000010', 'S0000003', 1, 98150000), 
('CO000332','T0000416', 'CA000010', 'S0000005', 1, 98150000), 
('CO000333','T0000417', 'CA000006', 'S0000002', 1, 203000000), 
('CO000334','T0000418', 'CA000017', 'S0000002', 1, 386500000), 
('CO000335','T0000420', 'CA000018', 'S0000002', 1, 260000000), 
('CO000336','T0000422', 'CA000021', 'S0000002', 1, 201000000), 
('CO000337','T0000423', 'CA000023', 'S0000002', 1, 208800000), 
('CO000338','T0000424', 'CA000030', 'S0000001', 2, 1125280000), 
('CO000339','T0000425', 'CA000024', 'S0000005', 1, 339800000), 
('CO000340','T0000426', 'CA000016', 'S0000003', 1, 152000000), 
('CO000341','T0000427', 'CA000022', 'S0000002', 1, 150800000), 
('CO000342','T0000428', 'CA000019', 'S0000003', 2, 322000000), 
('CO000343','T0000429', 'CA000008', 'S0000002', 1, 481500000), 
('CO000344','T0000430', 'CA000017', 'S0000001', 1, 386500000), 
('CO000345','T0000431', 'CA000020', 'S0000005', 1, 218000000), 
('CO000346','T0000432', 'CA000021', 'S0000004', 1, 201000000), 
('CO000347','T0000433', 'CA000023', 'S0000005', 1, 208800000), 
('CO000348','T0000434', 'CA000009', 'S0000004', 1, 338000000), 
('CO000349','T0000437', 'CA000003', 'S0000002', 1, 476050000), 
('CO000350','T0000438', 'CA000030', 'S0000004', 1, 562640000);
